20000	5000		0.00148691	0.00023687	0.000239745	0.000237282	
20000	10000		0.00146351	0.000484005	0.000474563	0.000479078	
20000	20000		0.00141835	0.000951588	0.00132722	0.000992641	
20000	40000		0.00143231	0.00190564	0.00193314	0.00201812	
20000	80000		0.00145078	0.00429159	0.00453339	0.00421811	
20000	160000		0.00140727	0.00834508	0.0119548	0.0120119	
20000	320000		0.0020173	0.0229194	0.0210749	0.0155645	
20000	640000		0.00201032	0.0483726	0.0491768	0.0496263	
20000	1280000		0.00140398	0.0799708	0.084436	0.0797413	
20000	2560000		0.00141712	0.154116	0.128857	0.13412	
20000	5120000		0.00151072	0.273112	0.219257	0.204463	

50000	5000		0.00314624	0.000197871	0.00019664	0.000197871	
50000	10000		0.0030785	0.000392048	0.000392458	0.000392048	
50000	20000		0.00307439	0.000784506	0.000812832	0.000796412	
50000	40000		0.00308178	0.0015686	0.00156901	0.0015686	
50000	80000		0.00309615	0.00317087	0.00314336	0.00374806	
50000	160000		0.00301856	0.00622966	0.00713076	0.00624772	
50000	320000		0.0030863	0.0134503	0.0125841	0.0126223	
50000	640000		0.00308548	0.0253669	0.0254511	0.0253054	
50000	1280000		0.00308261	0.0503377	0.0563978	0.0501288	
50000	2560000		0.00308425	0.103029	0.105029	0.102081	
50000	5120000		0.00296479	0.210459	0.204569	0.213013

100000	5000		0.00660898	0.00019664	0.000195819	0.00019623	
100000	10000		0.00651251	0.000392459	0.000392048	0.000438027	
100000	20000		0.00731672	0.000785738	0.000784507	0.000784506	
100000	40000		0.00649691	0.00250131	0.00209448	0.00173733	
100000	80000		0.00661145	0.00319673	0.00347096	0.00343483	
100000	160000		0.00712993	0.00671161	0.00625552	0.00631751	
100000	320000		0.0065043	0.0126141	0.0126699	0.0126272	
100000	640000		0.00640865	0.0251695	0.0251567	0.0252167	
100000	1280000		0.00646366	0.0558941	0.0504568	0.0504235	
100000	2560000		0.00655274	0.102604	0.100638	0.10287	
100000	5120000		0.00655808	0.203469	0.203742	0.203646

200000	5000		0.0140008	0.000196229	0.000196229	0.000196229	
200000	10000		0.0138727	0.000399027	0.000392047	0.0003941	
200000	20000		0.0151638	0.000784507	0.000791485	0.00078779	
200000	40000		0.0140443	0.00154808	0.00153001	0.00159775	
200000	80000		0.0138588	0.0031372	0.00313885	0.0031372	
200000	160000		0.0139844	0.00686679	0.00634132	0.00636226	
200000	320000		0.013954	0.012594	0.0125574	0.0125542	
200000	640000		0.0138867	0.0252446	0.0249408	0.0255656	
200000	1280000		0.0137828	0.0503381	0.0503275	0.0503866	
200000	2560000		0.0140419	0.101138	0.101445	0.102059	
200000	5120000		0.0139159	0.205048	0.202319	0.202695	
